year,season,area,waste_type,net_weight_kg
2012.0,Fall,Boralesgamuwa UC,MSW,928180.0
2012.0,Fall,Dehiwala MC,Non Biodegradable,5196090.0
2012.0,Fall,Homagama PS,MSW,923280.0
2012.0,Spring,Boralesgamuwa UC,MSW,880120.0
2012.0,Spring,Dehiwala MC,Non Biodegradable,4323420.0
2012.0,Spring,Homagama PS,MSW,850900.0
2012.0,Summer,Boralesgamuwa UC,MSW,894730.0
2012.0,Summer,Dehiwala MC,Non Biodegradable,4430600.0
2012.0,Summer,Homagama PS,MSW,920110.0
2012.0,Winter,Boralesgamuwa UC,MSW,845860.0
2012.0,Winter,Dehiwala MC,Non Biodegradable,4404900.0
2012.0,Winter,Homagama PS,MSW,573490.0
2013.0,Fall,Boralesgamuwa UC,MSW,974380.0
2013.0,Fall,Dehiwala MC,Non Biodegradable,5137040.0
2013.0,Fall,Homagama PS,MSW,930460.0
2013.0,Spring,Boralesgamuwa UC,MSW,899400.0
2013.0,Spring,Dehiwala MC,Non Biodegradable,5030190.0
2013.0,Spring,Homagama PS,MSW,897960.0
2013.0,Summer,Boralesgamuwa UC,MSW,933720.0
2013.0,Summer,Dehiwala MC,Non Biodegradable,5382510.0
2013.0,Summer,Homagama PS,MSW,932750.0
2013.0,Winter,Boralesgamuwa UC,MSW,920980.0
2013.0,Winter,Dehiwala MC,Non Biodegradable,5147280.0
2013.0,Winter,Homagama PS,MSW,986890.0
2014.0,Fall,Boralesgamuwa UC,MSW,1098520.0
2014.0,Fall,Dehiwala MC,Biodegradable,27390.0
2014.0,Fall,Dehiwala MC,Non Biodegradable,5685530.0
2014.0,Fall,Dehiwala MC,Sorted Organic Waste,29770.0
2014.0,Fall,Homagama PS,MSW,1004830.0
2014.0,Fall,Homagama PS,Sorted Organic Waste,3900.0
2014.0,Fall,Moratuwa MC,Sorted Organic Waste,134210.0
2014.0,Spring,Boralesgamuwa UC,MSW,976500.0
2014.0,Spring,Dehiwala MC,Non Biodegradable,5345570.0
2014.0,Spring,Homagama PS,MSW,871540.0
2014.0,Spring,Moratuwa MC,Sorted Organic Waste,128830.0
2014.0,Summer,Boralesgamuwa UC,MSW,1058400.0
2014.0,Summer,Dehiwala MC,Biodegradable,28340.0
2014.0,Summer,Dehiwala MC,Non Biodegradable,5389280.0
2014.0,Summer,Dehiwala MC,Sorted Organic Waste,33720.0
2014.0,Summer,Homagama PS,MSW,1149300.0
2014.0,Summer,Moratuwa MC,Sorted Organic Waste,150090.0
2014.0,Winter,Boralesgamuwa UC,MSW,970600.0
2014.0,Winter,Dehiwala MC,Biodegradable,8710.0
2014.0,Winter,Dehiwala MC,Non Biodegradable,5198050.0
2014.0,Winter,Dehiwala MC,Sorted Organic Waste,11100.0
2014.0,Winter,Homagama PS,MSW,1243920.0
2014.0,Winter,Homagama PS,Sorted Organic Waste,8030.0
2014.0,Winter,Moratuwa MC,Sorted Organic Waste,597400.0
2015.0,Fall,Boralesgamuwa UC,MSW,1025850.0
2015.0,Fall,Dehiwala MC,MSW,4824130.0
2015.0,Fall,Homagama PS,MSW,1039150.0
2015.0,Fall,Homagama PS,Sorted Organic Waste,2090.0
2015.0,Fall,Moratuwa MC,Bulky Waste,184420.0
2015.0,Fall,Moratuwa MC,C&D Waste,11010.0
2015.0,Fall,Moratuwa MC,Industrial Waste,109200.0
2015.0,Fall,Moratuwa MC,Indutrial Sludge Waste,7650.0
2015.0,Fall,Moratuwa MC,MSW,1470350.0
2015.0,Fall,Moratuwa MC,Polythyne & Regiform,1920.0
2015.0,Fall,Moratuwa MC,Sanitary Waste,7120.0
2015.0,Fall,Moratuwa MC,Slaghter House Waste,40110.0
2015.0,Fall,Moratuwa MC,Soil,5980.0
2015.0,Fall,Moratuwa MC,Soil With Waste,62780.0
2015.0,Fall,Moratuwa MC,Sorted Organic Waste,994690.0
2015.0,Spring,Boralesgamuwa UC,MSW,971030.0
2015.0,Spring,Dehiwala MC,MSW,4812800.0
2015.0,Spring,Homagama PS,MSW,933540.0
2015.0,Spring,Homagama PS,Sorted Organic Waste,3280.0
2015.0,Spring,Moratuwa MC,Bulky Waste,57600.0
2015.0,Spring,Moratuwa MC,Industrial Waste,49430.0
2015.0,Spring,Moratuwa MC,Indutrial Sludge Waste,5510.0
