year,week,area,waste_type,net_weight_kg
2012.0,1,Boralesgamuwa UC,MSW,172400.0
2012.0,1,Dehiwala MC,Non Biodegradable,807410.0
2012.0,2,Boralesgamuwa UC,MSW,119890.0
2012.0,2,Dehiwala MC,Non Biodegradable,551150.0
2012.0,5,Boralesgamuwa UC,MSW,102510.0
2012.0,5,Dehiwala MC,Non Biodegradable,457580.0
2012.0,5,Homagama PS,MSW,81570.0
2012.0,6,Boralesgamuwa UC,MSW,142640.0
2012.0,6,Dehiwala MC,Non Biodegradable,801840.0
2012.0,6,Homagama PS,MSW,167000.0
2012.0,9,Boralesgamuwa UC,MSW,80660.0
2012.0,9,Dehiwala MC,Non Biodegradable,402370.0
2012.0,9,Homagama PS,MSW,81620.0
2012.0,10,Boralesgamuwa UC,MSW,159390.0
2012.0,10,Dehiwala MC,Non Biodegradable,820950.0
2012.0,10,Homagama PS,MSW,152330.0
2012.0,11,Boralesgamuwa UC,MSW,29930.0
2012.0,11,Dehiwala MC,Non Biodegradable,119570.0
2012.0,11,Homagama PS,MSW,19440.0
2012.0,13,Boralesgamuwa UC,MSW,7450.0
2012.0,13,Dehiwala MC,Non Biodegradable,79430.0
2012.0,14,Boralesgamuwa UC,MSW,172340.0
2012.0,14,Dehiwala MC,Non Biodegradable,879110.0
2012.0,14,Homagama PS,MSW,148420.0
2012.0,15,Boralesgamuwa UC,MSW,115830.0
2012.0,15,Dehiwala MC,Non Biodegradable,550780.0
2012.0,15,Homagama PS,MSW,114270.0
2012.0,18,Boralesgamuwa UC,MSW,145480.0
2012.0,18,Dehiwala MC,Non Biodegradable,731250.0
2012.0,18,Homagama PS,MSW,155790.0
2012.0,19,Boralesgamuwa UC,MSW,169040.0
2012.0,19,Dehiwala MC,Non Biodegradable,739960.0
2012.0,19,Homagama PS,MSW,179030.0
2012.0,22,Boralesgamuwa UC,MSW,58010.0
2012.0,22,Dehiwala MC,Non Biodegradable,329060.0
2012.0,22,Homagama PS,MSW,74950.0
2012.0,23,Boralesgamuwa UC,MSW,191050.0
2012.0,23,Dehiwala MC,Non Biodegradable,844020.0
2012.0,23,Homagama PS,MSW,225070.0
2012.0,24,Boralesgamuwa UC,MSW,52380.0
2012.0,24,Dehiwala MC,Non Biodegradable,270990.0
2012.0,24,Homagama PS,MSW,38250.0
